line,folktale.ID,transcription,gloss,english,japanese,,
2.288,K7708242UP,"i= ekotanne utar yayipere eaykap pa p,",4.O= with.APPL-NI.village-COP kin/people RELF-eat-CAUS about.APPLR-be.unable PL thing/person,"the people who came to live at our village could not support themselves,",私たちの村の住⼈となった⼈たちに⾃活できない⼈がいたら、,,
2.289,K7708242UP,a= ipere pa a= i= korpare pa,4.A= eat-CAUS PL 4.A= 4.O= have-PL-CAUS PL,we fed them and gave them things,⾷事をさせ、ものを与えた。,,
2.290.,K7708242UP,coypep ne ya a= onaha nuwe koan,dish COP Q 4.A= father-POSS many.goods to.APPL-exist.SG,"Father had many valuable dinner dishes,",宝の⾷器も⽗がたくさん持っていたので、,,
2.291,K7708242UP,"coypep utar a= ukowsaraye pa a= utari utar ki wa, upakno uneno coypep ka a= ukowsaraye pa",dish Pl 4.A= REC-to.APPL-share PL 4.(A)= kin/people-POSS PL do and REC-till-ADV REC-same.as dish even 4.A= REC-to.APPL-allot PL,and we equally divided those among the villagers,その⾷器を村⼈たちに平等に分け与えた。,,
2.292,K7708242UP,"nep a= e rusuy nep a= kor_ rusuy somo ki no,",what 4.A= eat DESID what 4.A= have DESID NEG do and exist.PL =4.S,We lived without wanting food or things at all,何を⾷べたいとも何を欲しいとも思わずに暮らし、,,
2.293,K7708242UP,a= kotanu un katkemat utar i= o katkemat usi pa kor ki pa,4.A= village-POSS live.at/belong.to wife PL 4.O= enter.somwhere/ride/exist wife attatch.to-TR.SG PL and do PL,The women of the village learned my ladylike manners,村の婦⼈たちは私の淑⼥振りを⾒習いながらいて、,,
2.294,K7708242UP,"sake a= kor kor, Yupet emko un a= hekote nispa iaskeuk wa, ikutaspa utar arki kusu,",liquor 4.A= have when/if Yupet upper live.at/belong.to 4.A= be.married.to rich.man invite and drinking-echange-TR.PlL kin/people come/PL because,"We brewed wine, and my husband invited people from Yupet Upstream, and they came to have parties",酒をかもすと、夫がユペッ上流から⼈を招き、宴会の客がやってきて、,,
2.295,K7708242UP,"sine apa ne, sine utar_ ne ukar =an kor oka =an ayne",one relative as one kin/people as REC-make =4.S and exist.PL =4.S finally,We lived together as relatives and as a tribe,ひとつの親戚として、⼀族として暮らしていた。,,
2.296,K7708242UP,sorekus posiresitte =an,exactly Ni.child.NI.appearance-by.APPL-be.full-CAUS =4.S,"Later on we had many children,",そのうちに私たちにも⼦どもがたくさん⽣まれ、,,
2.297,K7708242UP,a= utari hene yakka posiresitte,4.(A)= kin/people-POSS for.example although NI.child-NI.appearance-by.APPL-be.full-CAUS,and the villagers also had many children,村の⼈たちにも⼦どもがたくさん⽣まれた。,,
2.298,K7708242UP,ora onne utar_ ray,then be.old kin/people die --,When the village elders,そして、年寄りが,,
2.299,K7708242UP,"ray kor esipinpa pa kuni p a= kar wa a= se h_i an ne ya somo apkas =an yakka ki ayne,",die when/if with.APPL-dress-PL PL should/going/surely thing/person 4.A= make and 4.A= shoulder thing/place/time exist.SG COP Q NEG walk =4.S although do finally,"died, we made burial outfits",亡くなると、死装束を作って、⾃分では⾏かないが持って⾏かせたりしているうちに、,"While I did not go myself, those who delivered the outfits",
2.300.,K7708242UP,"tane a= siwtoutari ka onne wa isam pa yak a= ye h_ike ka,",already 4.(A)= one's.in-laws-PL-POSS even be.old and not.exist PL COMP 4.A= say/tell but even,told me that my parents‐in‐law had also died of old age,お舅さんたちも年⽼いて無くなったという話を聞いたが、,,
2.301,K7708242UP,asinuma anak pokoinne =an,4SG TOP NI.child-with.APPL-be.numerous =4.S,"However, I was blessed with children",私は⼦宝に恵まれた。,,
2.302,K7708242UP,"apkas ka a= eaykap yakka,",walk even 4.A= about.APPL-be.unable although,"I could not go (to the Yupet Upstream village),",私は（ユペッ上流の村に）⾏くこともできなかったが、,,
2.303,K7708242UP,"a= hekote nispa anakne sine cup ta arsuy ka arpa ranke kor oka =an ayne,",4.A= be.married.to rich.man TOP one sun/moon/month at one/half-time even go.SG HAB and exist.PL =4.S finally ,"but each time my husband went [there], and stayed for a month",夫はそのたびに⼀⽉ほどの間戻っていた。,,
2.304,K7708242UP,"tane a= siwtoutari ka isam yak a= ye okake ta,",already 4.(A)= one's.in-laws-PL-POSS even not.exist COMP 4.A= say/tell end/behind-place at,"After it was said that my parents‐in‐law had passed on,",そのうちにお舅さんたちが亡くなった後で、,,
2.305,K7708242UP,a= onautari a= nurappa wa,4.(A)= father-PL-POSS 4.A= hold.memorial.service and,I held a memorial service for our parents,私は⽗たちの供養をした。,,
2.306,K7708242UP,"sinrit or_ ta mippo ka a= onautari ikoytupa somo ki kuni ne iki kor oka =an ayne,",ancestors palce at grandchild even 4.(A)= father-PL-POSS envy NEG do in.order this/that APASS-do and exist.PL =4.S finally,"Their grandchildren did so that our parents would not be leading a difficult life in the afterworld, and so we lived",孫たちにも⽗たちがあの世で困った暮らしをしなくてすむように供養させながらいるうちに、,,
2.307,K7708242UP,"tane onne =an pa siri ene an h_i kusu,",already be.old =4.S PL VIS.EV like.this exist.SG NMLZ because,“We have also aged so,もはや私たちも年をとったので、,,
2.308,K7708242UP,a= eysoytak sekor sino katkemat hawean sekor,4.A= about.APPL-talk QUOT true wife voice-POSS-exist.SG QUOT,"we are passing our stories on”, said one fine lady",話をしておくのだと、⽴派な婦⼈が語ったと。,,
3.1,K7803231UP,"ne ene iki wa okay pe a= ne ru an h_i ka a= erampewtek no,",what like.this APASS-do and exist.PL thing/person 4.A= COP INFR.EV exist.SG NMLZ even 4.A= not.know and,"I don’t know my origins,",私はどういう素性のものかわからなかったが、,,
3.2,K7803231UP,"pon muneukaomap【1】 an wa oro ta,",be.small grass.hut exist.SG and place-POSS at,"but there was a small grass hut,",⼩さな草⼩屋があって、そこで,,
3.3,K7803231UP,"a= kor ekasi a= kor huci i= resu,",4.A= have grandfather/elder-POSS 4.A= have grandmother 4.O= raise-TR.SG,a grandfather and grandmother raised me.,おじいさんとおばあさんに育てられ、,,
3.4,K7803231UP,"ponpon no okere huci ekasi i= resu hine oka =an pe ne h_ike,",small-small and finish grandmother grandfather/elder-POSS 4.O= raise-TR.SG exist.PL =4.S NMLZ COP but,"A very small grandmother and grandfather raised me, and so we lived.",とても⼩さなおばあさん、おじいさんに育てられて暮らしていた。,,
3.5,K7803231UP,"a= kor huci a= kor ekasi earkinne i= omap wa,",4.A= have grandmother 4.A= have grandfather/elder-POSS very 4.O= cherish and,"Grandfather and grandmother loved me dearly,",おじいさんおばあさんは私をとてもかわいがってくれて、,,
3.6,K7803231UP,sirkunne kor i= ukotumam w_a hotke =an.,NI.appearance-black when/if 4.O= REC-to.APPL-sleep.embracing and sleep =4.S,"and when it became dark outside, they would hold me to sleep.",暗くなると⼀緒に抱いて寝てくれた。,,
3.7,K7803231UP,"sittokap kor a= kor ekasi a= kor huci ekimne pa wa,",appearance-day.time when/if 4.A= have grandfather/elder-POSS 4.A= have grandmother go.to.the.mountains PL and,"In the day time, grandfather and grandmother went to the mountains.",昼になるとおじいさんとおばあさんは⼭へ⾏って、,,
3.8,K7803231UP,"usa cikappo ... usa cikap usa isepo kor wa iwak pa wa,",various bird-DIM -- various bird various hare have and return PL and,"They caught birds and rabbits and brought them home,",⿃だのうさぎだのを捕って帰ってきて、,,
3.9,K7803231UP,kapu kar pa wa ma wa i= ere pa kor oka =an.,skin-POSS make PL and roast and 4.O= eat-CAUS PL and exist.PL =4.S,"skinned and grilled, and fed to me.",⽪をむいて焼いて⾷べさせてくれた。,,
3.10.,K7803231UP,orano uturu ta a= kor ekasi ene hawean h_i.,then space/time.interval-POSS at 4.A= have grandfather/edler-POSS like.this voice-POSS-exist.SG thing/place/time,"Sometimes, grandfather would say to me,",そして、おじいさんはときどきこう⾔うのだった。,,
3.11,K7803231UP,"“a= kor son,",4.A= have beloved.child,"“Son,",「息⼦よ、,,
3.12,K7803231UP,"nep ka aeyayramekotep oka yakne ani a= supa wa rur_ turano a= ipere【2】 p,",what even 4.A-with.APPL-live-thing exist.PL then by/with 4.A= cook.PL and soup together.with-ADV 4.A= eat-CAUS but,"if we had the utensils we would boil our catch to make a soup for you to drink,",なにか道具があったら、それで煮てお汁のあるものを⾷べさせてあげるのに、,,
3.13,K7803231UP,ani suke =an pe ka isam pe ne kus,by/with cook =4.S thing/person even not.exist NMLZ COP because,"but since we have nothing to cook with,",料理をするものものないので、,,
3.14,K7803231UP,"imaype patek a= kor son a= kire.""",APASS-roast-food only 4.A= have beloved.child 4.A= do-CAUS,we can only feed you grilled foods.”,焼きものばかり息⼦に⾷べさせているな」,,
3.15,K7803231UP,"sekor kane a= kor huci a= kor ekasi hawoka kor,",QUOT somehwat 4.A= have grandmother 4.A= have grandfather/elder-POSS voice-exist.PL,My grandmother and grandfather would say this to me.,と、おばあさんもおじいさんも⾔っていた。,,
3.16,K7803231UP,"ora sirsak kor anakne,",then appearance-summer when/if TOP,"[In the summer,]",夏になると、,,
3.17,K7803231UP,"kor ham ani, nay sam ta oka =an pe ne kus,",butterbur tree.leaf by/with stream near at exist.PL =4.S NMLZ COP because,"With a butterbur leaf…since we lived near a mountain stream,",沢のそばに暮らしていたものだから、フキの葉で⽔汲み道具を作って、,,
3.18,K7803231UP,"wakkata pa wa kor wa arki wa,",NI.water-dig PL and have and come.PL and,we drew water and brought it.,⽔を汲んできて,,
3.19,K7803231UP,"i= kure pa ipe =an kor ora kas un ki【3】 kor orano oka =an ayne,",4.O= drink-CAUS PL eat =4.S and then hut to/at do and then exist.PL =4.S finally,They would bring me water to drink and we ate and so we lived in a hut.,私に飲ませてくれ、⾷事をして、⼩屋で暮らしていた。,,
3.20.,K7803231UP,"a= kor ekasi ene hawean h_i,",4.A= have grandfather/elder-POSS like.this voice-POSS-exist.SG thing/place/time,"Once grandfather said,",そのうちに、おじいさんはこう⾔った。,,
3.21,K7803231UP,"“nep ka aeyayramekotep okay pe ne yak,",what even 4.A-with.APPL-live-thing exist.PL NMLZ COP if,"“If I had tools,",「なにか道具でもあれば、,,
3.22,K7803231UP,"a= kor son, pon ku pon ay a= kore wa,",4.A= have beloved.child be.small bow be.small arrow 4.A= have-CAUS and,I would give a small bow and small arrow for you,息⼦に⼩さな⼸⼩さな⽮を作ってやって、,,
3.23,K7803231UP,"ani yayturasinot pe,",by/with REFL-together.with-play but,so you could play with it alone.,それでひとり遊びさせられるのだが、,,
3.24,K7803231UP,nep ka aeyayramekotep ka isam pe ne kus,what even 4.A-with.APPL-live-thing even not.exist NMLZ COP because,"But, I have no tools so",何も道具がないので、,,
3.25,K7803231UP,"ene a= kor son a= ikoytupare siri ene an.""",like.this 4.A= have beloved.child 4.A= envy-CAUS VIS.EV like.this exist.SG,I am burdening my son.”,こんなふうに息⼦に不⾃由をさせているなあ」,,
3.26,K7803231UP,"sekor a= kor ekasi hawean korka,",QUOT 4.A= have grandfather/elder-POSS voice-POSS-exist.SG but,That is what he would say.,と、おじいさんは⾔った。,,
3.27,K7803231UP,"ora ... orano kestoankor ekimne pa wa,",then -- then every.day go.to.the.mountans PL and,They went to the mountains together everyday and,そして、毎⽇ふたりで⼭に⾏っては、,,
3.28,K7803231UP,cikappo ne ya isepo ne ya ronnu wa arki pa.,bird-DIM COP Q hare COP Q kill.PL and come.PL PL,caught small birds and rabbits.,⼩⿃だのウサギだのを捕ってきて、,,
3.29,K7803231UP,"imaype ani ukasuy ipe =an pe ne a p,",APASS-roast-food by/with REC-help/with? eat =4.S NMLZ COP PERF.SG but,"Together we would live on grilled food but,",焼いて⼀緒に⾷べていたが、,,
3.30.,K7803231UP,"poro =an akusu orano,",be.big/old =4.S then then,"as I grew bigger,",私が⼤きくなると、,,
3.31,K7803231UP,"“a= kor son a= iperusuyka yak wen.""",4.A= have beloved.child 4.A= eat-DESID-CAUS if be.bad,"“I cannot let my son go hungry,”",「息⼦に腹をすかさせてはいけない」,,
3.32,K7803231UP,"sekor hawoka kor konto sinen a= ne i= ipere pa wa ora,",QUOT voice-exist.PL when/if then one-person.CLF 4.A= COP 4.O= eat-CAUS PL and then,"my grandfather would say, and made me eat the catch by myself.",と⾔うと、私ひとりに⾷事をさせる。,,
3.33,K7803231UP,"a= kor ekasi a= kor huci anak i= kasuy h_ine a= ma aep poka e pa ka somo ki pa p no,",4.A= have grandfather/elder-POSS 4.A= have grandmother TOP 4.O= help/with? and 4.A= roast 4.A-eat-thing only eat PL even NEG do PL thing/person and,Grandfather and grandmother would not eat these grilled dishes with me.,そしておじいさんとおばあさんはその焼いた料理すら私と⼀緒に⾷べもしないでいた。,,
3.34,K7803231UP,konto poro =an akus sinna i= hotkere pa hine,then be.big/old =4.S then another 4.O= sleep-CAUS PL and,"As I grew up, they told me to sleep separately,",そして私が⼤きくなると私を別に寝かせるということで、,,
3.35,K7803231UP,sinna hotke =an.,another sleep =4.S,so I started to sleep alone.,私はひとりで寝ることになった。,,
3.36,K7803231UP,"mokor =an ka somo ki no an =an akus,",sleep =4.S even NEG do and exist.SG =4.S then,"Once when I could not sleep,",眠りもしないでいると、,,
3.37,K7803231UP,"a= kor huci utar ehotke i un hemanta ekawnukawnu pa humas kusu,",4.A= have grandmother PL at/with.APPL-sleep thing/place/time to/at what with.APPL-gnaw-gnaw PL sound/felling-stand.SG because,I heard a scratching sound from my grandparent’s bedroom.,おばあさんたちの寝床から、なにやらがりがりかじる⾳が聞こえてくる。,,
3.38,K7803231UP,"ora ekimne pa isam okake ta arpa =an h_ine inkar =an akus,",then go.to.the.mountains PL not.exist end/behind-place at go.SG =4.S and look =4.S then,I had a look after they went to the mountains.,そこで、ふたりが⼭に⾏った後で⾏ってみると、,,
3.39,K7803231UP,ermu sar ermu sapa ikirihi an.,mouse tail mouse head row/pile-POSS exist.SG,There was a pile of mouse tails and mouse heads.,ねずみのしっぽや、ねずみの頭が⼭になっていた。,,
3.40.,K7803231UP,"a= kor huci a= kor ekasi ehotke i, ehotke pa uske erupsike ta ki pa ruwe an y_akne,",4.A= have grandmother 4.A= have grandfather/edler-POSS at/with.APPL-sleep thing/place/time at/with.APPL-sleep PL place/time-place east.side.of.a.house at do PL INFR.EV exist.SG when,"It was at the bedside of my grandmother’s and grandfather’s sleeping place,",おじいさんとおばあさんが寝床にしている所の頭のほうにあったので、,,
3.41,K7803231UP,"somo aynu ne pa wa kus ne ruwe ne kuni a= ramu kor, orano oka =an",NEG human COP PL and because COP INFR.EV COP should/going/surely.COMP 4.A= think and then exist.PL =4.S,so I started to wonder if maybe they were not human.,ふたりは⼈間ではないのではないかと思いながら暮らしていた。,,
3.42,K7803231UP,orano ene a= kor huci a= kor ekasi ene hawean h_i.,then like.this 4.A= have grandmother 4.A= have grandfather/elder-POSS like.this voice-POSS-exist.SG thing/place/time,"One day, grandmother and grandfather said,",すると、おばあさん、おじいさんがこう⾔った。,,
3.43,K7803231UP,"“aeyayramekotep oka wa ani a= kor son a= epakasnu yakun,",4.A-withAPPL-live-thing exist.PL and by/with 4.A= have beloved.child 4.A= about.APPL-teach.to if/then,"“If only we had tools, we could teach our son.",「道具があって、それで息⼦に教えてやれば、,,
3.44,K7803231UP,"nep ka a= kor son kar pe a= e wa ora onne =an pa p,",what even 4.A= have beloved.child hunt thing/person 4.A= eat and then be.old =4.S PL but,We could spend the rest of our lives eating what our son caught.”,何か息⼦が捕ったものを⾷べて余⽣を送ることができるのだが、,,
3.45,K7803231UP,ene aeyayramekotep ka isam pe ne kusu,like.this 4.A-with.APPL-live-thing even not.exist NMLZ COP because,But we have no tools,なんの道具もないので、,,
3.46,K7803231UP,"nep ka a= kor son kar wa a= e ka somo ki.""",what even 4.A= have beloved.child hunt and 4.A= eat even NEG do ,so we cannot eat what our beloved son has caught.,息⼦の捕ったものも⾷べることができない」,,
3.47,K7803231UP,sekor tane(?) haweoka kor,QUOT already voice-POSS-exist.PL and,So they said,そう⾔いながら,,
3.48,K7803231UP,"oka =an pe ne a p,",exist.PL =4.S NMLZ COP PERF.SG but,as we lived our lives.,暮らしていた。,,
3.49,K7803231UP,"sineanta a= kor ekasi utar ekimne hine ora,",sometime 4.A= have grandfather/elder-POSS PL go.to.the.mountains and then,One day grandfather and grandmother went to the mountains but,ある⽇、おじいさんたちは⼭へ⾏ったが、,,
3.50.,K7803231UP,"iwak pa akus nep ka sak no iwak pa ruwe ne hine,",return PL then what even lack and return PL INFR.EV COP and,came home empty handed.,⼿ぶらで戻ってくると、,,
3.51,K7803231UP,"esiruyne pon_ saranip【4】 osurpa pa hine ora,",back be.small basket throw.away-TR.PL PL and then,They threw a small knapsack to the back (of the house),奥のほうに⼩さな背負い袋を放り出して、,,
3.52,K7803231UP,toykohepututpa hine oka ruwe ne akus esoyne humas.,very-head.PF-project-P.RED-TR.PL and exist.PL INFR.EV COP then head.POSS.PF-outside-COP sound/feeling-stand.SG,with a gloomy look on their faces. We heard a sound outside.,ひどくふさぎこんだ顔をしていた。すると、外で⾳がする。,,
3.53,K7803231UP,"soyne ... a= kor huci soyne ruwe ne akus ora,",outside-COP -- 4.A= have grandmother outside-COP INFR.EV COP then then,"Grandmother went outside,",おばあさんが外に出ると、,,
3.54,K7803231UP,os … a= kor huci os aynu sekor a= ye p ne noyne,back -- 4.A= have grandmother back human QUOT 4.A= say/tell thing/person COP look.as,and came back with [two] human‐looking,おばあさんの後から、⼈間というものらしいもの、,,
3.55,K7803231UP,"oka【5】… okkaypo sekor a= ye p ne noyne oka utar_ tun,",-- man-DIM QUOT 4.A= say/tell thing/person COP look.as exist.PL kin/people two-person.CLF,two young men,若者というものらしいものが⼆⼈、,,
3.56,K7803231UP,"rupne sike ki hine ahup pa ruwe ne hine,",grow.up luggage do and inside.house-INTR.PL PL INFR.EV COP and,carrying a large package.,⼤きな荷物をしょって⼊ってきて、,,
3.57,K7803231UP,"a= kor huci utar erankarap pa ruwe ne hine ora,",4.A= have grandmother PL to.APPL-greet PL INFR.EV COP and then,They greeted grandmother and grandfather.,おばあさんたちに挨拶をした。,,
3.58,K7803231UP,konto nea poniwne noyne an h_ikehe,then that younger look.as exist.SG one.of-POSS,The younger of the two,そして、年下らしいほうが、,,
3.59,K7803231UP,"sikehe kasi wa hemanta sanke hine,",luggage-POSS top-POSS from what front.place-INTR.SG-CAUS and,took something out from the top of the package.,荷物の上からなにか出して、,,
3.60.,K7803231UP,"nay or_ ta kor wa arpa hine,",stream place at have and go.SG and,He took it to the stream,沢へ持って⾏って、,,
3.61,K7803231UP,ani wakkata wa ek ruwe ne akus,by/with NI.water-dig and come.SG INFR.EV COP then,"and drew some water. When he came back,",それで⽔を汲んで戻ってくると、,,
3.62,K7803231UP,a= kor ekasi ene hawean h_i.,4.A= have grandfather/edler-POSS like.this voice-POSS-exist.SG thing/place/time,"grandfather said,",おじいさんがこう⾔った。,,
3.63,K7803231UP,"“tan pe anak su sekor a= ye p ne."" sekor, “a= kor son.""",this thing/person TOP pan QUOT 4.A= say/tell thing/person COP QUOT 4.A= have beloved.child,"“Son, this is a thing called pan.” he said,",「息⼦よ、これが鍋というものだ」と,,
3.64,K7803231UP,"sekor a= kor ekasi hawean ruwe ne hine,",QUOT 4.A= have grandfather/elder-POSS voice-POSS-exist.SG INFR.EV COP and,So said grandfather.,と、おじいさんは⾔った。,,
3.65,K7803231UP,"ora nep kam ne ruwe ne ya,",then what meat COP INFR.EV COP Q,"(The brothers) took some type of meat,",（その兄弟が）なんの⾁だか,,
3.66,K7803231UP,"poronno su or o pa hine suke pa hine,",be.big-EP-ADV pan place put.sth.on.sth PL and cook PL and,filled the pan and cooked it.,たくさん鍋の中に⼊れて料理して、,,
3.67,K7803231UP,oraun itanki ka se pa wa【6】 nen ...,then bowl even shoulder PL and what --,They also brought bowls …,お椀もしょってきて…,,
3.68,K7803231UP,hnta sapte pa ruwe ne akus a= kor ekasi ene hawean h_i.,what front.place-INTR.PL-CAUS PL INFR.EV COP then 4.A= have grandfather/edler-POSS like.this voice-POSS-exist.SG thing/place/time,"Taking something out of the package, grandfather said,",なにやら出すと、おじいさんが⾔った。,,
3.69,K7803231UP,"“tap anak itanki sekor a= ye pa p ne ruwe ne.""",this TOP bowl QUOT 4.A= say/tell PL thing/person COP INFR.EV COP,"“This is called a bowl”,",「これはお椀というものなのだ」,,
3.70.,K7803231UP,"sekor a= kor ekasi hawean ruwe ne hine ora,",QUOT 4.A= have grandfather/elder-POSS voice-POSS-exist.SG INFR.EV COP and then,said grandfather.,と、おじいさんは⾔った。,,
3.71,K7803231UP,a= kor ekasi hoskino nea okkaypo utar koypuni.,4.A= have grandfather/elder-POSS before-ADV that man-DIM PL to.APPL-APASS-raise-TR.SG,"The young men served grandfather first,",その若者たちはまず先におじいさんに料理をよそり、,,
3.72,K7803231UP,a= kor huci koypuni hine,4.A= have grandmother to.APPL-APASS-raise-TR.SG and,and then grandmother.,次におばさんによそった。,,
3.73,K7803231UP,orano a= kor ekasi anak aoypepi sirka ta anu wa,then 4.A= have grandfather/elder-POSS TOP 4.A-at.APPL-eat-thing-POSS appearance/ground-top at exist-TR.SG and,Grandfather put the dish down on the ground,おじいさんは⾷器を地⾯に置くと、,,
3.74,K7803231UP,"tu suy onkami re suy onkami kor ki ayne, sorekusu ipe.",two times worpship three times worpship and do finally exactly eat,and prayed repeatedly before eating.,なんども礼拝を繰り返してから⾷べた。,,
3.75,K7803231UP,a= kor huci ne yakka etuhu karkar.,4.A= have grandmother COP although nose-POSS make-make,Grandmother expressed gratitude by scratching below her nose.,おばあさんも⿐の下をこすった。,,
3.76,K7803231UP,"etuhu karkar kor ipe ruwe ne hine,",nose-POSS make-make when/if eat INFR.EV COP and,Grandmother expressed gratitude by scratching below her nose and ate her meal.,おばあさんも⿐の下をこすって、それをいただいた。,,
3.77,K7803231UP,ora asinuma ka a= i= koypuni hine ipe =an akus,then 4.SG even 4.A= 4.O= to.APPL-APASS-raise-TR.SG and eat =4.S then,I ate the food that was served to me.,そして、私にもよそってくれたので⾷べてみると、,,
3.78,K7803231UP,ineapkusun keraan humas y_a ka a= eramiskari.,EXCL taste-exist.SG sound/feeling-stand.SG Q even 4.A= not.know,It was so delicious.,なんとそのおいしいこと。,,
3.79,K7803231UP,"tanepo rur_ turano ipe =an pe ne kusu,",now-DIM soup together.with-ADV eat =4.S NMLZ COP because,It was the first time I had food with a soup so,お汁のあるものをはじめて⾷べたので,,
3.80.,K7803231UP,ruwe ne hine oraun a= kor ekasi ene hawean h_i.,INFR.EV COP and then 4.A= have grandfather/elder-POSS like.this voice-POSS-exist.SG thing/place/time,"(Interruption) Grandfather said,",（中断）すると、おじいさんが⾔った。,,
3.81,K7803231UP,"“a= kor okkaypo utar kusu a= eci= arkire p anak,",4.A= have man-DIM PL indeed 4.A= 2PL.O= come.PL-CAUS NMLZ TOP,"“Youngsters, this is why we had you come.",「若者たちよ、私たちがお前たちを来させたわけは、こういうことだ。,,
3.82,K7803231UP,"tan kotan ta eci= onaha akihi tan uske ta tu irwak ne wa okay pe,",this village at 2PL.(A)= father-POSS younger.brother-POSS this place/time-place at two siblings COP and exist.PL but,"In this village, in this place, your father and his younger brother lived as two brothers.",この村にはお前たちの⽗親と弟がこの場所に⼆⼈兄弟で暮らしていたのだが、,,
3.83,K7803231UP,"oraun `ir kur anak humnean ta oka kor wen pe ne kusu,",then kin preson TOP one.place at exist.PL when/if be bad.NMLZ COP because,"but your father said, “Brothers should not always live at the same place.",お前たちの⽗親が、『兄弟がひとつところにいつのはよくないので、,,
3.84,K7803231UP,"uoyak ta kotan a= kar wa oka =an yak unukar =an h_i ta,",REC-another.palce at village 4.A= make and exist.PL =4.S if REC-see =4.S thing/place/time at,"Let’s start another village elsewhere to live. Then when we meet,",別の場所に村を作って暮らそう。そして、顔を合わせたときに、,,
3.85,K7803231UP,iramante oruspe ka a= ewkoysoytak.',APASS-hunt story even 4.A= about.APPL-REC-to.APPL-tell.stories,we can talk with each other about hunting.”,狩のことでも話し合おう』,,
3.86,K7803231UP,sekor eci= ona hawean.,QUOT 2PL.(A)= father.POSS voice-POSS-exist.SG,"(Listening to what) your father said,",お前たちの⽗親はそう⾔って、,,
3.87,K7803231UP,"ora eci= ona akihi te ta kotan kar wa an ruwe ne a p,",then 2PL.(A)= father.POSS younger.brother-POSS here at village make and exist.SG INFR.EV COP PERF.SG but,his younger brother started a village here.,その弟はここに村を作ってくらしていたのだが、,,
3.88,K7803231UP,"Kusur wa topattumi ek h_ine topattumi ani kotan a= arustekka ruwe ne hine,",Kusur from night.raider(er) come.SG and night.raid(er) by/with village 4.A= completely-extinguish-momentary-CAUS INFR.EV COP and,"However, the Toppatumi from Kusur came and destroyed the village.",そこにクスﾙからトパットゥミが来て、村がほろぼされてしまった。,,
3.89,K7803231UP,"oraun tan a= kor son katkemat kamuy inawcipa kohokuste kor,",then this 4.A= have beloved.child wife god alter to.APPL-fall.over-CAUS when/if,"The wife knocked the altar over our son here, [and said],",そのとき、このわが息⼦の上に奥さんが祭壇を倒しかけて、こう⾔った。,,
3.90.,K7803231UP,"`a= hekote nispa nomi kamuy inne p ne nankor kusu,",4.A= be.married.to rich.man worpship god be.numerous NMLZ COP probably because,“There must be many Kamui whom my husband worships.,『わが夫が祭ってきたカムイがおおぜいいるでしょうから、,,
3.91,K7803231UP,… nankor kusu kamuy resu wa i= kore.',-- probably because god raise-TR.SG and 4.O= have-CAUS,"Come Kamui, raise this child for me.”",カムイよ、この⼦を育ててください』,,
3.92,K7803231UP,sekor kane hawean kor inawcipa kohokuste.,QUOT somewhat voice-POSS-exist.SG and alter to.APPL-fall.over-CAUS,This is what she said as she knocked the altar over.,そう⾔いながら、祭壇を倒しかぶせた。,,
3.93,K7803231UP,kamuy opitta,god all,"(However) the Kamui said,",しかし、カムイたちはみんな,,
3.94,K7803231UP,`hu_nna aynu hekaci aynu tennep sikaokuymare,who human boy human baby REFL-top-urinate-CAUS?,"Who wants to get peed on (and pooped on) by a human boy, a human baby?”",『だれが⼈間の男の⼦に、⼈間の⾚ん坊におしっこをかけられたり、,,
3.95,K7803231UP,sikaosomare rusuy wa.',REFL-top-deficate-CAUS DESID FIN,and pooped on?”,うんちをかけられたりしたいものか』,,
3.96,K7803231UP,sekor haweoka kor yaykopuyarseske yaykoapaseske pa ruwe ne hine ora.,QUOT voice-POSS-exist.PL and REFL-to.APPL-NI.window-close RELF-to.APPL-NI.door.close PL INFR.EV COP and then,they said and closed the windows and doors.,と⾔って、窓を閉め、⼾⼝を閉めてしまう。,,
3.97,K7803231UP,"konto eci= acaha kor cape, umurek cape a= ne hine oka =an pe,",then 2.PL.(A) uncle-POSS have cat couple cat 4.A= COP and exist.PL =4.S but,We are husband and wife cats which your uncle cared for.,そこで、私たちはお前たちのおじが飼っていたネコの夫婦なのだが、,,
3.98,K7803231UP,"konto aynu ne yaykar =an h_ine,",then human as REFL-make =4.S and,We transformed into humans,⼈間に変⾝して,,
3.99,K7803231UP,"orano a= kor son a= resu ayne ta pakno an ruwe ne korka ora,",then 4.A= have beloved.child 4.A= raise-TR.SG finally here till-ADV exist.SG INFR.EV COP but then,and raised this child as our own.,今までわが息⼦を育ててきたのだ。,,
3.100.,K7803231UP,kotan a= uhuyka pa uyna uweus h_ike uyna pa aeyayramekotep ne yakka ki pa,village 4.A= burn-CAUS PL take.PL REC-EP-head.POSS.PF-attatch.to thing take.PL PL 4.A-with.APPL-live-thing COP although do PL,"The village has been burned down and destroyed, and all its utensils? (swords?) and tools have been taken away.",しかし村が焼き払われ、⼑(？)や道具も略奪され、,,
3.101,K7803231UP,"orano, kotan a= uhuyka p ne kus",then village 4.A= burn-CAUS NMLZ COP because,"Then village has been burned down,",そして村が焼き払われたので、,,
3.102,K7803231UP,"nep ka emeske pon_ su poka isam pe ne kus,",what even head.POSS.PF-chip-INTR be.small pan only not.exist NMLZ COP because,not even a broken small pan is left.,⽋けた⼩鍋すら残っておらず、,,
